mid,date
182901,1999-07-08 10:02:00
182900,1999-07-09 03:59:00
182899,1999-07-12 01:50:00
182898,1999-07-12 02:35:00
182897,1999-07-12 07:38:00
182896,1999-07-12 08:05:00
182895,1999-07-12 08:57:00
182894,1999-07-12 10:03:00
182893,1999-07-12 10:17:00
182892,1999-07-12 10:50:00
182891,1999-07-13 03:21:00
182890,1999-07-14 02:55:00
182889,1999-07-14 05:41:00
182888,1999-07-14 06:43:00
182887,1999-07-14 07:14:00
182886,1999-07-14 10:44:00
182885,1999-07-15 00:05:00
182884,1999-07-15 00:17:00
182883,1999-07-15 00:33:00
89470,1999-07-15 09:09:00
182882,1999-07-15 10:06:00
182881,1999-07-16 02:11:00
182880,1999-07-16 02:36:00
183093,1999-07-16 02:41:00
182879,1999-07-16 03:42:00
182878,1999-07-19 01:54:00
182877,1999-07-19 06:56:00
182876,1999-07-19 09:52:00
182875,1999-07-20 01:43:00
182874,1999-07-20 02:14:00
182873,1999-07-20 07:07:00
182872,1999-07-21 01:44:00
182871,1999-07-21 02:20:00
182870,1999-07-21 02:53:00
182869,1999-07-21 03:07:00
182868,1999-07-21 06:21:00
182867,1999-07-21 07:06:00
182866,1999-07-21 11:35:00
182865,1999-07-22 04:05:00
182864,1999-07-22 04:11:00
182863,1999-07-22 05:13:00
182862,1999-07-22 07:14:00
182861,1999-07-22 07:25:00
182860,1999-07-22 07:41:00
182859,1999-07-22 08:47:00
89469,1999-07-23 02:00:00
89468,1999-07-23 02:19:00
182858,1999-07-23 02:39:00
182857,1999-07-23 02:44:00
182856,1999-07-23 04:56:00
182855,1999-07-23 05:23:00
182854,1999-07-23 05:25:00
182853,1999-07-23 06:40:00
182852,1999-07-23 06:44:00
182851,1999-07-23 06:46:00
18001,1999-07-23 06:53:00
182850,1999-07-23 07:13:00
182849,1999-07-23 07:16:00
182848,1999-07-23 07:25:00
182847,1999-07-23 10:30:00
182846,1999-07-23 10:57:00
182845,1999-07-26 03:13:00
182844,1999-07-26 03:16:00
186624,1999-07-26 03:20:00
182843,1999-07-26 04:27:00
182842,1999-07-26 08:35:00
182841,1999-07-26 11:53:00
182840,1999-07-26 11:54:00
182839,1999-07-26 11:57:00
182838,1999-07-27 01:32:00
182837,1999-07-27 01:34:00
182836,1999-07-27 01:47:00
182835,1999-07-27 01:57:00
182834,1999-07-27 02:00:00
182833,1999-07-27 08:34:00
182832,1999-07-27 08:36:00
182831,1999-07-27 09:31:00
182830,1999-07-28 01:52:00
182829,1999-07-28 01:53:00
182828,1999-07-28 02:02:00
182827,1999-07-28 02:28:00
182826,1999-07-28 04:11:00
182825,1999-07-28 07:17:00
182824,1999-07-28 11:56:00
182823,1999-07-29 03:02:00
182822,1999-07-29 03:40:00
182821,1999-07-29 06:50:00
182820,1999-07-29 09:59:00
182819,1999-07-29 10:00:00
182818,1999-07-30 02:12:00
182817,1999-08-02 02:23:00
182816,1999-08-02 02:51:00
182815,1999-08-02 02:57:00
182814,1999-08-02 03:22:00
182813,1999-08-02 03:24:00
182812,1999-08-02 03:59:00
182811,1999-08-02 10:51:00
182810,1999-08-03 04:17:00
182809,1999-08-03 04:31:00
182808,1999-08-03 04:48:00
182807,1999-08-03 06:06:00
182806,1999-08-03 06:32:00
182805,1999-08-03 06:33:00
186720,1999-08-03 10:26:00
182804,1999-08-03 11:20:00
182803,1999-08-04 02:10:00
182802,1999-08-04 03:36:00
182801,1999-08-04 05:56:00
182800,1999-08-04 07:25:00
182799,1999-08-04 08:05:00
182798,1999-08-04 10:44:00
182797,1999-08-04 11:27:00
182796,1999-08-05 03:04:00
182795,1999-08-05 03:07:00
182794,1999-08-05 10:05:00
182793,1999-08-06 01:56:00
182792,1999-08-06 02:01:00
182791,1999-08-06 02:11:00
182790,1999-08-06 02:14:00
182789,1999-08-09 06:36:00
182787,1999-08-10 02:00:00
182786,1999-08-10 02:05:00
182785,1999-08-10 02:52:00
182784,1999-08-10 03:12:00
179275,1999-08-10 04:06:00
182783,1999-08-10 04:09:00
89610,1999-08-10 04:28:00
89467,1999-08-10 04:28:00
182782,1999-08-10 06:53:00
182781,1999-08-10 08:43:00
182780,1999-08-10 08:49:00
182779,1999-08-10 09:10:00
182778,1999-08-11 02:43:00
182777,1999-08-11 04:35:00
182776,1999-08-11 06:02:00
182775,1999-08-11 07:09:00
89466,1999-08-11 07:26:00
182774,1999-08-11 08:59:00
182773,1999-08-11 09:00:00
182772,1999-08-11 09:32:00
182771,1999-08-12 01:42:00
182770,1999-08-12 02:38:00
89465,1999-08-12 03:30:00
89559,1999-08-12 03:30:00
182769,1999-08-12 06:23:00
182768,1999-08-12 07:44:00
182767,1999-08-12 07:53:00
182766,1999-08-12 10:01:00
17977,1999-08-13 15:49:00
17976,1999-08-16 00:22:00
182765,1999-08-16 04:30:00
182764,1999-08-16 05:07:00
182763,1999-08-23 02:58:00
182762,1999-08-23 03:02:00
182761,1999-08-23 06:43:00
182760,1999-08-23 07:12:00
182759,1999-08-23 07:22:00
182758,1999-08-23 09:38:00
182757,1999-08-23 10:16:00
182756,1999-08-23 11:26:00
182755,1999-08-23 11:46:00
182754,1999-08-24 04:10:00
182753,1999-08-24 11:50:00
182752,1999-08-25 03:07:00
182751,1999-08-25 03:48:00
179253,1999-08-25 03:48:00
182750,1999-08-25 05:00:00
17969,1999-08-25 14:06:00
182749,1999-08-26 01:46:00
182748,1999-08-26 02:32:00
182747,1999-08-26 11:23:00
89464,1999-08-27 10:06:00
89608,1999-08-27 10:06:00
182746,1999-08-27 10:09:00
17967,1999-08-27 10:11:00
89463,1999-08-27 10:52:00
89607,1999-08-27 10:52:00
17966,1999-08-28 11:05:00
18142,1999-08-28 11:07:00
182745,1999-08-30 01:40:00
182744,1999-08-30 06:08:00
182743,1999-08-30 06:42:00
182742,1999-08-30 06:50:00
182741,1999-08-30 07:29:00
89462,1999-08-30 09:24:00
17965,1999-08-30 13:39:00
182740,1999-08-31 02:37:00
182739,1999-08-31 05:50:00
182738,1999-08-31 06:09:00
182737,1999-08-31 06:14:00
182736,1999-08-31 06:38:00
182735,1999-08-31 11:10:00
89461,1999-09-01 04:03:00
182734,1999-09-01 08:55:00
179274,1999-09-01 10:18:00
182733,1999-09-01 10:41:00
182732,1999-09-01 10:53:00
182731,1999-09-01 11:32:00
182730,1999-09-01 11:58:00
182729,1999-09-01 12:01:00
182728,1999-09-02 01:44:00
182727,1999-09-02 01:52:00
182726,1999-09-02 02:28:00
182725,1999-09-02 02:39:00
182724,1999-09-02 03:27:00
182723,1999-09-02 03:28:00
179273,1999-09-02 06:32:00
182722,1999-09-02 07:24:00
182721,1999-09-02 07:39:00
182720,1999-09-02 08:01:00
182719,1999-09-02 09:42:00
182718,1999-09-02 10:09:00
182717,1999-09-03 02:35:00
182716,1999-09-03 04:10:00
182715,1999-09-03 06:50:00
182714,1999-09-03 08:46:00
182713,1999-09-03 09:49:00
182712,1999-09-03 10:10:00
182711,1999-09-03 10:22:00
182710,1999-09-07 02:09:00
182709,1999-09-07 02:12:00
182708,1999-09-07 02:15:00
182707,1999-09-07 02:19:00
182706,1999-09-07 02:35:00
182705,1999-09-07 03:10:00
182704,1999-09-07 05:59:00
182703,1999-09-07 06:05:00
182702,1999-09-07 08:46:00
182701,1999-09-07 08:50:00
182700,1999-09-08 02:24:00
182699,1999-09-08 02:45:00
182698,1999-09-08 02:53:00
182697,1999-09-08 04:55:00
182696,1999-09-08 05:31:00
182695,1999-09-08 05:35:00
182694,1999-09-08 05:43:00
182693,1999-09-08 05:55:00
182692,1999-09-08 05:56:00
182691,1999-09-08 08:25:00
182690,1999-09-08 09:11:00
182689,1999-09-09 01:57:00
182688,1999-09-09 02:32:00
182687,1999-09-09 02:35:00
182686,1999-09-09 05:00:00
182685,1999-09-10 03:13:00
182684,1999-09-10 04:10:00
182683,1999-09-10 06:19:00
182682,1999-09-10 06:21:00
182681,1999-09-10 06:24:00
182680,1999-09-10 07:13:00
182679,1999-09-10 07:15:00
182678,1999-09-10 07:27:00
182677,1999-09-13 02:19:00
182676,1999-09-13 03:31:00
182675,1999-09-13 04:27:00
182674,1999-09-13 06:55:00
182673,1999-09-13 07:38:00
182672,1999-09-13 07:46:00
182671,1999-09-13 08:10:00
182670,1999-09-13 08:11:00
182669,1999-09-13 08:14:00
182668,1999-09-13 08:46:00
17958,1999-09-13 09:23:00
182667,1999-09-13 11:18:00
17954,1999-09-14 03:34:00
17957,1999-09-14 06:06:00
17956,1999-09-14 08:40:00
182666,1999-09-14 09:13:00
17955,1999-09-14 09:32:00
182665,1999-09-14 09:38:00
182664,1999-09-14 09:56:00
182663,1999-09-14 10:28:00
182662,1999-09-14 10:30:00
182661,1999-09-14 10:46:00
182660,1999-09-14 11:57:00
182659,1999-09-14 11:59:00
182658,1999-09-15 01:43:00
182657,1999-09-15 02:26:00
17952,1999-09-15 03:18:00
17951,1999-09-15 04:27:00
182656,1999-09-15 07:31:00
89460,1999-09-15 08:47:00
182655,1999-09-15 10:15:00
182654,1999-09-15 11:49:00
17948,1999-09-16 01:16:00
182653,1999-09-16 01:55:00
182652,1999-09-16 03:12:00
182651,1999-09-16 03:16:00
182650,1999-09-16 03:23:00
182649,1999-09-16 04:48:00
182648,1999-09-16 05:26:00
182647,1999-09-16 05:59:00
182646,1999-09-16 06:50:00
182645,1999-09-16 07:12:00
182644,1999-09-16 07:24:00
182643,1999-09-16 07:28:00
182642,1999-09-16 07:40:00
182641,1999-09-16 08:48:00
182640,1999-09-16 08:55:00
179272,1999-09-17 01:48:00
182639,1999-09-17 04:32:00
182637,1999-09-17 05:09:00
182636,1999-09-17 06:37:00
182635,1999-09-17 06:40:00
182634,1999-09-17 07:10:00
182633,1999-09-17 07:11:00
182632,1999-09-17 07:14:00
182631,1999-09-17 08:26:00
182630,1999-09-17 09:58:00
182629,1999-09-17 10:19:00
182628,1999-09-17 10:32:00
182627,1999-09-17 11:13:00
17748,1999-09-17 11:52:00
89670,1999-09-23 10:25:00
89459,1999-09-23 10:25:00
212877,1999-09-23 16:40:00
31100,1999-09-27 03:57:00
31101,1999-09-27 03:58:00
182626,1999-09-27 04:04:00
182625,1999-09-27 06:49:00
182624,1999-09-27 07:00:00
182623,1999-09-27 07:06:00
17940,1999-09-27 08:23:00
31102,1999-09-27 10:36:00
119822,1999-09-27 22:42:00
125344,1999-09-27 22:42:00
31103,1999-09-28 02:00:00
182622,1999-09-28 02:22:00
182621,1999-09-28 04:54:00
182620,1999-09-28 04:55:00
182619,1999-09-28 11:53:00
182618,1999-09-29 02:02:00
182617,1999-09-29 03:00:00
182616,1999-09-29 03:08:00
182615,1999-09-29 05:27:00
182614,1999-09-29 06:34:00
31104,1999-09-29 09:10:00
182613,1999-09-29 10:45:00
182612,1999-09-29 10:50:00
182611,1999-09-29 10:52:00
182610,1999-09-29 11:15:00
182609,1999-09-29 11:19:00
182608,1999-09-29 11:54:00
182607,1999-09-29 11:55:00
182606,1999-09-30 02:04:00
31105,1999-09-30 02:11:00
31106,1999-09-30 02:12:00
31107,1999-09-30 02:12:00
182605,1999-09-30 02:18:00
182604,1999-09-30 03:15:00
182603,1999-09-30 03:16:00
182602,1999-09-30 03:20:00
182601,1999-09-30 03:26:00
182600,1999-09-30 04:32:00
182599,1999-09-30 06:38:00
182598,1999-09-30 07:39:00
182597,1999-09-30 08:53:00
182596,1999-09-30 09:03:00
182595,1999-09-30 09:05:00
17937,1999-09-30 10:33:00
182594,1999-10-01 02:17:00
182593,1999-10-01 02:51:00
182592,1999-10-01 03:00:00
182591,1999-10-01 03:26:00
17935,1999-10-01 03:26:00
182590,1999-10-01 03:43:00
182589,1999-10-01 03:45:00
89458,1999-10-01 03:59:00
182588,1999-10-01 07:39:00
89457,1999-10-04 10:24:00
17934,1999-10-05 11:46:00
17933,1999-10-06 06:52:00
182587,1999-10-11 03:02:00
182586,1999-10-11 03:32:00
182585,1999-10-11 03:42:00
182584,1999-10-11 04:41:00
220398,1999-10-11 06:01:00
182583,1999-10-11 06:10:00
182582,1999-10-11 06:11:00
182581,1999-10-11 06:50:00
182580,1999-10-11 07:23:00
182579,1999-10-11 07:37:00
186767,1999-10-11 09:42:00
182578,1999-10-11 09:43:00
17928,1999-10-11 09:58:00
182577,1999-10-11 10:01:00
182576,1999-10-11 10:03:00
182575,1999-10-11 10:03:00
182574,1999-10-11 10:23:00
182573,1999-10-12 02:09:00
182572,1999-10-12 02:55:00
182571,1999-10-12 08:41:00
182570,1999-10-13 01:56:00
182569,1999-10-13 06:31:00
111466,1999-10-13 08:32:00
182568,1999-10-13 10:19:00
182567,1999-10-14 02:01:00
182566,1999-10-14 02:03:00
182565,1999-10-14 07:01:00
182564,1999-10-14 08:26:00
182563,1999-10-15 03:42:00
182562,1999-10-15 03:53:00
182561,1999-10-15 05:03:00
182560,1999-10-15 07:03:00
182559,1999-10-15 07:07:00
182558,1999-10-15 07:08:00
182557,1999-10-15 08:30:00
89456,1999-10-15 08:41:00
182556,1999-10-18 01:51:00
182555,1999-10-18 01:54:00
182554,1999-10-18 02:06:00
182553,1999-10-18 02:28:00
182552,1999-10-18 02:46:00
182551,1999-10-18 06:37:00
212895,1999-10-18 09:36:00
182550,1999-10-19 00:12:00
182549,1999-10-19 00:20:00
182548,1999-10-19 00:35:00
182547,1999-10-19 00:48:00
182546,1999-10-19 00:56:00
182545,1999-10-19 01:07:00
182544,1999-10-19 01:58:00
182543,1999-10-19 04:48:00
182542,1999-10-19 06:50:00
232649,1999-10-19 10:02:00
182541,1999-10-21 01:56:00
182540,1999-10-21 01:58:00
182539,1999-10-21 02:00:00
182538,1999-10-21 02:04:00
182537,1999-10-21 02:15:00
182536,1999-10-21 02:18:00
182535,1999-10-21 02:41:00
182534,1999-10-21 02:44:00
182533,1999-10-21 02:47:00
182532,1999-10-21 02:54:00
182531,1999-10-21 03:08:00
182530,1999-10-21 03:15:00
182529,1999-10-21 03:38:00
182528,1999-10-21 04:06:00
182527,1999-10-21 04:22:00
182526,1999-10-21 04:27:00
182525,1999-10-21 06:14:00
182524,1999-10-21 06:16:00
182523,1999-10-21 06:28:00
182522,1999-10-21 06:33:00
182521,1999-10-21 06:39:00
182520,1999-10-21 06:46:00
182519,1999-10-21 06:55:00
182518,1999-10-21 07:04:00
182517,1999-10-21 07:12:00
182516,1999-10-21 08:47:00
182515,1999-10-21 08:58:00
182514,1999-10-21 09:41:00
182513,1999-10-21 09:43:00
182512,1999-10-21 09:46:00
182511,1999-10-21 09:59:00
182510,1999-10-21 11:22:00
182509,1999-10-21 11:27:00
182508,1999-10-22 02:41:00
182507,1999-10-22 02:43:00
90538,1999-10-22 02:44:00
89455,1999-10-22 02:44:00
182506,1999-10-22 02:59:00
182505,1999-10-22 03:02:00
182504,1999-10-22 03:12:00
89454,1999-10-22 03:36:00
90537,1999-10-22 03:36:00
182503,1999-10-22 04:09:00
182502,1999-10-22 04:10:00
182501,1999-10-22 06:20:00
182500,1999-10-22 07:16:00
182499,1999-10-22 07:43:00
182498,1999-10-22 08:21:00
89453,1999-10-22 08:38:00
182497,1999-10-22 09:59:00
182496,1999-10-22 10:10:00
182495,1999-10-22 10:11:00
182494,1999-10-22 10:19:00
182493,1999-10-22 10:29:00
182492,1999-10-25 01:56:00
182491,1999-10-25 02:36:00
182490,1999-10-25 02:41:00
220399,1999-10-25 02:57:00
182489,1999-10-25 03:29:00
182488,1999-10-25 04:34:00
182487,1999-10-25 04:42:00
186605,1999-10-25 06:09:00
186606,1999-10-25 06:10:00
182486,1999-10-25 06:53:00
17917,1999-10-25 07:03:00
182484,1999-10-25 08:57:00
182483,1999-10-25 09:46:00
182482,1999-10-25 10:10:00
182481,1999-10-25 10:28:00
182480,1999-10-25 11:07:00
182479,1999-10-25 11:13:00
182478,1999-10-26 01:46:00
182477,1999-10-26 05:21:00
182476,1999-10-26 10:13:00
182475,1999-10-27 04:07:00
182474,1999-10-27 08:32:00
182473,1999-10-27 11:14:00
182472,1999-10-28 01:56:00
182471,1999-10-28 03:44:00
106085,1999-10-29 06:25:00
186607,1999-11-01 00:46:00
182470,1999-11-01 00:56:00
232654,1999-11-01 03:04:00
182469,1999-11-02 01:56:00
186791,1999-11-02 02:48:00
182468,1999-11-02 05:20:00
182467,1999-11-02 05:33:00
182466,1999-11-02 07:44:00
182465,1999-11-02 07:47:00
182464,1999-11-02 08:47:00
182463,1999-11-02 08:54:00
182462,1999-11-02 09:09:00
182461,1999-11-02 09:13:00
182460,1999-11-02 10:04:00
220739,1999-11-03 07:21:00
186792,1999-11-03 07:46:00
186793,1999-11-03 07:46:00
182459,1999-11-03 07:52:00
182458,1999-11-03 08:03:00
182457,1999-11-03 08:20:00
182456,1999-11-03 08:24:00
182455,1999-11-03 08:25:00
182454,1999-11-03 10:39:00
212897,1999-11-03 15:13:00
212898,1999-11-03 15:14:00
212900,1999-11-03 15:15:00
212899,1999-11-03 15:15:00
182453,1999-11-04 01:18:00
182452,1999-11-04 02:12:00
182450,1999-11-04 07:55:00
186794,1999-11-04 08:13:00
220454,1999-11-04 08:25:00
182449,1999-11-04 08:28:00
182448,1999-11-05 00:54:00
182447,1999-11-05 01:17:00
182446,1999-11-05 01:28:00
182445,1999-11-05 01:37:00
182444,1999-11-05 02:49:00
182443,1999-11-05 02:52:00
182442,1999-11-05 04:34:00
182441,1999-11-05 05:40:00
182440,1999-11-05 05:41:00
182439,1999-11-05 06:34:00
21319,1999-11-05 07:22:00
21236,1999-11-05 07:22:00
182438,1999-11-05 07:37:00
182437,1999-11-05 07:44:00
220743,1999-11-05 07:55:00
89452,1999-11-05 08:15:00
89604,1999-11-05 08:15:00
182436,1999-11-05 08:23:00
220456,1999-11-05 09:15:00
182435,1999-11-05 09:47:00
17912,1999-11-05 10:29:00
21316,1999-11-05 12:33:00
21233,1999-11-05 12:33:00
17911,1999-11-07 23:47:00
182434,1999-11-08 00:38:00
182433,1999-11-08 01:07:00
182432,1999-11-08 01:31:00
182430,1999-11-08 01:59:00
182429,1999-11-09 01:03:00
182428,1999-11-09 02:21:00
182427,1999-11-09 02:34:00
21306,1999-11-09 02:48:00
21223,1999-11-09 02:48:00
182426,1999-11-09 02:48:00
182425,1999-11-09 03:15:00
182424,1999-11-09 05:35:00
182423,1999-11-09 09:26:00
89451,1999-11-10 00:24:00
90508,1999-11-10 00:24:00
182422,1999-11-10 04:20:00
182421,1999-11-10 09:29:00
89450,1999-11-11 00:17:00
182420,1999-11-11 04:23:00
182419,1999-11-11 04:27:00
89449,1999-11-11 05:15:00
182418,1999-11-11 09:39:00
21299,1999-11-11 13:41:00
21216,1999-11-11 13:41:00
21215,1999-11-11 13:44:00
21298,1999-11-11 13:44:00
182417,1999-11-12 00:43:00
182416,1999-11-12 00:59:00
182415,1999-11-12 02:05:00
89448,1999-11-12 02:08:00
89603,1999-11-12 02:08:00
182414,1999-11-12 04:11:00
220745,1999-11-12 04:47:00
182413,1999-11-12 05:24:00
220746,1999-11-12 05:43:00
182412,1999-11-12 05:51:00
182411,1999-11-12 05:53:00
182410,1999-11-12 08:09:00
182409,1999-11-12 09:56:00
182408,1999-11-15 01:03:00
182407,1999-11-15 04:32:00
182406,1999-11-15 05:21:00
55603,1999-11-15 06:31:00
34069,1999-11-15 07:16:00
182405,1999-11-16 04:21:00
21296,1999-11-16 16:05:00
21213,1999-11-16 16:05:00
182404,1999-11-17 02:24:00
182403,1999-11-17 03:51:00
182402,1999-11-17 05:24:00
182401,1999-11-17 06:25:00
182400,1999-11-17 07:38:00
182399,1999-11-17 08:58:00
34070,1999-11-17 09:36:00
21293,1999-11-17 09:45:00
21210,1999-11-17 09:45:00
182398,1999-11-17 10:39:00
182397,1999-11-18 01:28:00
90600,1999-11-18 02:40:00
89447,1999-11-18 02:40:00
182396,1999-11-18 03:42:00
182395,1999-11-18 03:45:00
182394,1999-11-18 07:36:00
182393,1999-11-18 07:37:00
17907,1999-11-19 03:16:00
182392,1999-11-19 05:22:00
34071,1999-11-21 22:30:00
182391,1999-11-22 00:25:00
182390,1999-11-22 00:26:00
182389,1999-11-22 01:54:00
182388,1999-11-22 01:56:00
182387,1999-11-22 01:59:00
220748,1999-11-22 02:04:00
182386,1999-11-22 02:31:00
220649,1999-11-22 02:42:00
182385,1999-11-22 06:45:00
182384,1999-11-22 09:30:00
182383,1999-11-23 00:38:00
232655,1999-11-23 01:34:00
106088,1999-11-23 07:04:00
182382,1999-11-23 09:48:00
182381,1999-11-24 00:39:00
182380,1999-11-24 00:44:00
182379,1999-11-24 01:25:00
182378,1999-11-24 01:30:00
182377,1999-11-24 03:46:00
21274,1999-11-25 12:29:00
21191,1999-11-25 12:29:00
125261,1999-11-26 02:09:00
182376,1999-11-28 01:10:00
182375,1999-11-28 01:12:00
182374,1999-11-28 02:14:00
182373,1999-11-28 02:15:00
182372,1999-11-28 02:16:00
182371,1999-11-28 02:29:00
17904,1999-11-29 16:18:00
21270,1999-11-29 17:33:00
21187,1999-11-29 17:33:00
21269,1999-11-29 17:52:00
21186,1999-11-29 17:52:00
106089,1999-12-01 10:59:00
17902,1999-12-01 15:42:00
106090,1999-12-01 16:38:00
17901,1999-12-02 01:21:00
106091,1999-12-02 09:59:00
182370,1999-12-03 02:58:00
182369,1999-12-03 03:03:00
106092,1999-12-03 09:18:00
212912,1999-12-03 16:50:00
182368,1999-12-06 00:51:00
179271,1999-12-06 00:52:00
182367,1999-12-06 02:41:00
182366,1999-12-06 02:45:00
182365,1999-12-07 00:56:00
182364,1999-12-07 00:58:00
182363,1999-12-07 05:26:00
182362,1999-12-07 05:36:00
212915,1999-12-07 07:45:00
17900,1999-12-07 08:17:00
182361,1999-12-07 10:29:00
182360,1999-12-07 10:42:00
182359,1999-12-07 10:46:00
182358,1999-12-07 10:50:00
179246,1999-12-08 04:26:00
182357,1999-12-08 06:59:00
182356,1999-12-08 07:44:00
182355,1999-12-09 01:15:00
182354,1999-12-09 01:18:00
182353,1999-12-09 03:05:00
182352,1999-12-09 04:02:00
182351,1999-12-09 04:28:00
182350,1999-12-09 05:35:00
182349,1999-12-09 06:53:00
182348,1999-12-09 08:33:00
182347,1999-12-09 09:06:00
182346,1999-12-09 09:07:00
182345,1999-12-09 09:18:00
182344,1999-12-09 11:22:00
182343,1999-12-09 11:22:00
337399,1999-12-10 05:05:00
89446,1999-12-10 08:08:00
120652,1999-12-10 09:28:00
128063,1999-12-10 09:28:00
17897,1999-12-10 14:42:00
153920,1999-12-12 03:33:00
153919,1999-12-12 05:46:00
34077,1999-12-12 23:11:00
182342,1999-12-13 00:46:00
182341,1999-12-13 01:11:00
337400,1999-12-13 01:45:00
383592,1999-12-13 02:51:00
182340,1999-12-13 03:24:00
17896,1999-12-13 05:22:00
383593,1999-12-13 06:32:00
383594,1999-12-13 06:35:00
115278,1999-12-13 06:40:00
383595,1999-12-13 07:33:00
383596,1999-12-13 07:41:00
362747,1999-12-13 07:55:00
